Addresse,Latitude,Longitude
Maison à vendre à Marly-la-Ville (95670),49.08201,2.50347
Chars 95750,49.1604049,1.9367877
Bezons 95870 (Nouveau Bezons),48.9204595,2.2047466
Viarmes 95270,49.125863,2.3693685
Groslay 95410,48.9867112,2.3458615
Vigny 95450,49.077778,1.9272914
Cormeilles-en-Parisis 95240 (Noyer de l'Image),48.9645533,2.2060642
Bruyères-sur-Oise 95820,49.1573165,2.3301301
Sannois 95110 (Pasteur),48.9746463,2.2655624
Moussy 95640,49.1379292,1.9088785
Garges-lès-Gonesse 95140 (Le Vieux Pays),48.9674614,2.4111114
Fontenay-en-Parisis 95190,49.0535501,2.45143
Presles 95590,49.114721,2.2814878
Villers-en-Arthies 95510,49.0884444,1.7264055
Taverny 95150 (Centre-ville - Les Coteaux),49.0254,2.2169
Osny 95520 (Liviliiers - Ennery - Zone Commerciale l'Oseraie),49.0594,2.0618
Attainville 95570,49.0578463,2.3446221
Fosses 95470,49.0986649,2.5161998
Nesles-la-Vallée 95690,49.1278723,2.1712619
Vétheuil 95510,49.06325,1.70278
Deuil-la-Barre 95170 (Mortefontaines),48.9743261,2.3208207
Le Plessis-Luzarches 95270,49.0957781,2.4537867
Montmagny 95360 (Barrage),48.9749733,2.3628415
Louvres 95380,49.0449139,2.5096751
Franconville 95130 (Stade),48.9997302,2.2190488
Maison à vendre à Puiseux-en-France (95380),49.05552,2.50035
Herblay 95220 (Verdun - Copistes),48.9899,2.1699
Soisy-sous-Montmorency 95230 (Les Noels - Champs de Course d'Enghien - Gare),48.9881,2.3016
Jouy-le-Moutier 95280 (Jouy-le-Fontaine - Jouy-village),49.0179692,2.0465264
Puiseux-en-France 95380,49.0597512,2.5009544
Herblay 95220 (Val d'Herblay),48.991877,2.1708278
Goussainville 95190 (Grenelle - Grandes-Bornes),49.0662,2.4581
Taverny 95150 (Les Lignières - Mermoz - Les Ecouardes),49.0254,2.2169
Saint-Leu-la-Forêt 95320 (Les Côteaux),49.0167,2.25
Seraincourt 95450,49.0355508,1.8657252
Saint-Ouen-l'Aumône 95310 (Eglise),49.0391632,2.1046784
Valmondois 95760,49.0967512,2.1889394
Nointel 95590,49.129763,2.2900352
Cormeilles-en-Parisis 95240 (Alsace Lorraine),48.9667529,2.1907154
Villaines-sous-Bois 95570,49.0760008,2.3576353
Maison à vendre à Vémars (95470),49.06942,2.56643
Saint-Witz 95470,49.0906196,2.5653692
Éragny 95610 (Le Bois - La Butte),49.0167,2.1
Margency 95580,49.002,2.28847
Osny 95520 (Val de Viosne - Gare),49.0594,2.0618
Saint-Gratien 95210 (Forum),48.9684092,2.2850788
Maison à vendre à Sarcelles (95200),49,2.38333
Sannois 95110 (Gaston Ramon),48.9801871,2.2398653
Persan 95340,49.1512109,2.2765575
Sarcelles 95200 (Rosiers),48.9977386,2.3682646
Montigny-lès-Cormeilles 95370 (République),48.9959113,2.1989225
Arnouville 95400 (Cottage - Beauséjour),48.9867689,2.4205692
Maison à vendre à Survilliers (95470),49.09712,2.54449
Soisy-sous-Montmorency 95230,48.9875044,2.3002885
Sannois 95110 (Voltaire),48.9758613,2.2590126
Sannois 95110 (Centre-ville - Bel Air),48.9667,2.25
Deuil-la-Barre 95170 (Barre - Ormesson),48.9662338,2.3167211
Herblay 95220 (Cailloux Gris - Bayonnes),48.9965164,2.1454945
Montmagny 95360 (Jules Ferry - Trois Communes - Acacias),48.9734,2.3469
Maison à vendre à Montmorency (95160),48.98826,2.3434
Amenucourt 95510,49.1067288,1.6432239
Ermont 95120 (Centre-ville),48.9917676,2.2585679
Jagny-sous-Bois 95850,49.0784323,2.4440241
Beaumont-sur-Oise 95260,49.1419322,2.2849324
Butry-sur-Oise 95430,49.0856723,2.1979556
Cergy 95000 (Axe Majeur - Horloge),49.0506875,2.0337028
Bouffémont 95570,49.0431342,2.2991001
Gonesse 95500 (Les Marronniers - La Grande Vallée),49.0066,2.4722
Cergy 95000 (Orée du Bois),49.05,2.1
Saint-Gratien 95210 (Des Marais - La Terre aux Clercs),48.9735,2.2873
L'Isle-Adam 95290,49.1125294,2.2186324
Domont 95330 (Les Tournesols),49.0278,2.3264
Maison à vendre à Sannois (95110),48.96667,2.25
Cergy 95000 (Grand Centre),49.0527528,2.0388736
Sannois 95110,48.9717267,2.2568296
Saint-Brice-sous-Forêt 95350 (Rougemonts),48.996118,2.336755
Osny 95520 (Le Fonds de Chars),49.0594,2.0618
Gonesse 95500 (Madeleine),48.9868671,2.4369784
Luzarches 95270,49.1124996,2.4223849
Saint-Ouen-l'Aumône 95310 (Centre-ville - Prairie),49.0429741,2.1056031
Bernes-sur-Oise 95340,49.1620172,2.2985653
Eaubonne 95600 (Paul Bert),48.9821215,2.2799021
Montlignon 95680,49.008969,2.2862669
Montsoult 95560,49.0704484,2.312001
Montmorency 95160 (Bas Montmorency),48.9883,2.3434
Montmagny 95360 (Centre-ville - Carrières),48.9723744,2.350733
Bezons 95870,48.9250016,2.2105491
Montmorency 95160 (Centre Montmorency),48.9921519,2.3312678
Éragny 95610 (La Cavée),49.0203912,2.0968212
Vienne-en-Arthies 95510,49.066114,1.7335397
Domont 95330 (Gambetta - Golf - Forêt Domaniale Montmorency),49.0278,2.3264
Ermont 95120 (Espérances - Arts),48.99,2.258
Vallangoujard 95810,49.1400327,2.1109926
Villeron 95380,49.05765,2.5406393
Ronquerolles 95340,49.1711096,2.2066479
Pontoise 95300,49.0508845,2.1008067
Saint-Gratien 95210,48.9703664,2.2840639
Survilliers 95470,49.1025201,2.5434395
Arnouville 95400 (Centre-ville),48.9892126,2.4202824
Chaumontel 95270,49.1302,2.43913
Éragny 95610 (Le Grillon),49.0189384,2.1121875
Noisy-sur-Oise 95270,49.1382558,2.3299877
Saint-Leu-la-Forêt 95320 (La Plaine),49.0096739,2.2409073
Sannois 95110 (Gare),48.9705579,2.2633176
Gonesse 95500,48.9863555,2.4500537
Gonesse 95500 (Centre-ville),48.9863555,2.4500537
Maison à vendre à Goussainville (95190),49.01367,2.46595
Neuville-sur-Oise 95000,49.0135534,2.0623676
Saint-Leu-la-Forêt 95320 (Les Tannières),49.0167,2.25
Vémars 95470,49.0672657,2.5659272
Vauréal 95490 (Boulingrin - La Siaule),49.0271479,2.0180726
Villiers-le-Bel 95400 (Carreaux),49.0050052,2.3989684
Condécourt 95450,49.041871,1.9400988
Saint-Brice-sous-Forêt 95350 (Vergers Sud),49.0122,2.3454
Deuil-la-Barre 95170 (Lac Marchais - Blancport),48.9767,2.3272
COMMENY 95450,49.1271097,1.8904928
Garges-lès-Gonesse 95140 (Carnot),48.9706761,2.4138951
Piscop 95350,49.0120051,2.3422807
Belloy-en-France 95270,49.0892802,2.367884
Maison à vendre à Écouen (95440),49.02062,2.38309
Jouy-le-Moutier 95280 (Merisiers - Ecancourt - Côte-des-Carrières - Tremblays),49.0107,2.0403
Saint-Cyr-en-Arthies 95510,49.0615171,1.7428006
Courdimanche 95800,49.0354894,1.999555
Saint-Brice-sous-Forêt 95350 (Centre-ville - Clos),48.9957898,2.3514085
Franconville 95130 (Hôtel de Ville),48.9833,2.2333
Arnouville 95400 (Vieux Pays - Le Petit Parc),48.9833,2.4167
Soisy-sous-Montmorency 95230 (Jean Mermoz),48.9881,2.3016
Cergy 95800 (Orée du Bois),49.0364,2.0761
Pontoise 95300 (Saint-Jean - Les Patis),49.1013,2.1324
Sannois 95110 (Moulin),48.969789,2.234244
Ableiges 95450,49.0901646,1.9812325
Deuil-la-Barre 95170 (Galathée),48.9651603,2.3295996
Grisy-les-Plâtres 95810,49.130876,2.0499726
Gonesse 95500 (La Fauconnière),49.0022999,2.422803
Maison à vendre à Vétheuil (95510),49.06199,1.70351
Montigny-lès-Cormeilles 95370,48.9959113,2.1989225
Maison à vendre à Seraincourt (95450),49.03573,1.86703
Montmorency 95160,48.9891693,2.3197111
Cormeilles-en-Parisis 95240 (Val d'Or),48.9737161,2.1888359
Éragny 95610 (Dix Arpents),49.019262,2.1076018
Maison à vendre à Cormeilles-en-Parisis (95240),48.97111,2.20491
Osny 95520 (Immarmont),49.0630108,2.0577556
Le Thillay 95500,49.0053,2.46926
Andilly 95580,49.005362,2.2988964
Ermont 95120 (Cernay - Glatignies),48.99,2.258
95640,49.1463963,1.976397
Arnouville 95400,48.9892126,2.4202824
Bonneuil-en-France 95500,48.9748734,2.4332879
Sarcelles 95200 (Chardonnerettes),49.0070182,2.3778597
Franconville 95130 (Fontaines),48.9806354,2.2311274
La Chapelle-en-Vexin 95420,49.1833735,1.7321978
Pontoise 95300 (Centre hospitalier),49.0794139,1.7598927
Arnouville 95400 (Robert Schuman - Stade),48.9833,2.4167
Cormeilles-en-Vexin 95830,49.1157322,2.020926
Mareil-en-France 95850,49.0681665,2.4256186
Épiais-Rhus 95810,49.1232379,2.0638522
Pontoise 95000,49.0508845,2.1008067
Boisemont 95000,49.0223999,2.0026375
Asnières-sur-Oise 95270,49.1339089,2.3541273
Maison à vendre à Marines (95640),49.14485,1.98226
Maison à vendre à Bessancourt (95550),49.03765,2.20936
Pierrelaye 95220,49.0231851,2.1557195
Bezons 95870 (Centre-ville),48.9250016,2.2105491
Arnouville 95400 (Claude Demange),48.9833,2.4167
Ermont 95120,48.9917676,2.2585679
Chaussy 95710,49.121606,1.6941681
Saint-Leu-la-Forêt 95320,49.0212001,2.2480799
Maison à vendre à Saint-Witz (95470),49.091,2.57122
Maison à vendre à Pontoise (95300),49.05,2.1
Argenteuil 95100,48.9479069,2.2481797
Maison à vendre à Jouy-le-Moutier (95280),49.01068,2.04028
Maison à vendre à Luzarches (95270),49.11319,2.4223
Maison à vendre à Courcelles-sur-Viosne (95650),49.07842,2.00288
Villiers-Adam 95840,49.0642526,2.2342094
Chérence 95510,49.0877931,1.6753203
Jouy-le-Moutier 95280,49.0116,2.03194
Montmagny 95360,48.9728571,2.343561
Eaubonne 95600,48.9906696,2.2794326
Bray-et-Lû 95710,49.1395811,1.6585408
Pontoise 95300 (Les Larris - Maradas),49.0320852,2.0866254
Frémécourt 95830,49.119121,2.0017953
Maison à vendre à Grisy-les-Plâtres (95810),49.13177,2.05012
Villiers-le-Sec 95720,49.0727678,2.3897789
Maison à vendre à Pontoise (95000),49.05,2.1
Maison à vendre à Génicourt (95650),49.03654,5.43698
Banthelu 95420,49.1266301,1.8148772
Herblay 95220,48.9898588,2.166162
Cléry-en-Vexin 95420,49.1273725,1.8401715
Éragny 95610,49.0192178,2.0910817
Cergy 95000,49.0527528,2.0388736
Maison à vendre à Taverny (95150),49.02542,2.21691
Maison à vendre à Ronquerolles (95340),49.16667,2.2235
Maison à vendre à Béthemont-la-Forêt (95840),49.05443,2.25192
Maison à vendre à Villiers-Adam (95840),49.06427,2.23429
Maison à vendre à Champagne-sur-Oise (95660),49.14052,2.24233
Maison à vendre à Cergy (95000),49.03645,2.07613
